"id","market","strategy","status","outcome","execution_mode","quality_gate_status","quality_gate_reasons","entry_at","exit_at","side","entry","stop","target","net_pnl","r_multiple","risk","cost_r","fees","slippage","mfe_r","mae_r","exit_reason","quality_score","trend_score","regime"
"magi_15_htf_mtf_revisit_trade_management_v2:momentum_continuation:BTC-EUR:BTC-EUR:mtf:1h:support:429","BTC-EUR","momentum_continuation","closed_loss","break_even","primary","passed","","2026-06-26T15:07:53.852Z","2026-06-26T18:47:59.183Z","long","52375","51882.57","53113.65","-1.59","-0.32","5","0.32","1.06","0.53","1.19","-0.13","Break Even","0.6444","0.772","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:mtf:1h:support:419","BTC-EUR","scout_touch_rejection","closed_loss","break_even","primary","passed","","2026-06-26T11:12:48.384Z","2026-06-26T12:42:50.479Z","long","52083","51879.06","52388.91","-3.83","-0.77","5","0.77","2.55","1.28","1.22","-1.56","Break Even","0.6334","0.6557","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:BTC-EUR:BTC-EUR:mtf:1h:support:419","BTC-EUR","breakout_retest","closed_loss","loss","primary","passed","","2026-06-26T10:57:48.393Z","2026-06-26T11:07:48.188Z","short","51958","52164.94","51647.59","-8.77","-1.75","5","0.75","2.51","1.26","0","-1.02","Stop Loss","0.6716","0.781","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:mtf:1h:support:419","BTC-EUR","range_bounce","closed_loss","break_even","shadow_correlated_duplicate","passed","","2026-06-26T11:12:48.384Z","2026-06-26T12:42:50.479Z","long","52083","51879.06","52388.91","-3.83","-0.77","5","0.77","2.55","1.28","1.22","-1.56","Break Even","0.631","0.6853","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:volatility_breakout:BTC-EUR:BTC-EUR:mtf:1h:support:419","BTC-EUR","volatility_breakout","closed_loss","loss","shadow_correlated_duplicate","passed","","2026-06-26T10:57:48.393Z","2026-06-26T11:07:48.188Z","short","51958","52164.94","51647.59","-8.77","-1.75","5","0.75","2.51","1.26","0","-1.02","Stop Loss","0.6716","0.781","High Volatility"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:mtf:1h:support:429","BTC-EUR","scout_touch_rejection","closed_win","win","primary","passed","","2026-06-26T13:52:52.250Z","2026-06-26T13:57:52.349Z","long","52131","51882.42","52503.87","4.35","0.87","5","0.63","2.1","1.05","1.93","0","Take Profit","0.6116","0.6402","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:scout_touch_rejection:BTC-EUR:BTC-EUR:htf:4h:support:118","BTC-EUR","scout_touch_rejection","closed_loss","loss","primary","passed","","2026-06-25T21:33:54.325Z","2026-06-26T02:16:32.485Z","long","52598","52042.26","53431.61","-6.42","-1.28","5","0.28","0.95","0.47","0.58","-1.82","Stop Loss","0.6092","0.4971","Unknown"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:BTC-EUR:BTC-EUR:htf:4h:support:118","BTC-EUR","breakout_retest","closed_timeout","timeout","primary","passed","","2026-06-25T20:53:53.528Z","2026-06-26T01:56:32.114Z","short","52174","53063.74","50839.39","-1.3","-0.26","5","0.18","0.59","0.29","0.09","-0.84","Timeout","0.6063","0.5513","Trending"
"magi_15_htf_mtf_revisit_trade_management_v2:range_bounce:BTC-EUR:BTC-EUR:htf:4h:support:118","BTC-EUR","range_bounce","closed_loss","loss","shadow_correlated_duplicate","passed","","2026-06-25T21:33:54.325Z","2026-06-26T02:16:32.485Z","long","52598","52042.26","53431.61","-6.42","-1.28","5","0.28","0.95","0.47","0.58","-1.82","Stop Loss","0.6224","0.5566","Range"
"magi_15_htf_mtf_revisit_trade_management_v2:breakout_retest:BTC-EUR:BTC-EUR:htf:4h:support:122","BTC-EUR","breakout_retest","closed_timeout","timeout","primary","passed","","2026-06-26T07:17:42.974Z","2026-06-26T12:17:49.856Z","short","53186","54731.74","50867.39","2.71","0.54","5","0.1","0.34","0.17","0.79","-0.06","Timeout","0.6115","0.5977","Trending"
